Timestamp,Which one would you prefer to buy from?,How likely are you to engage with a Brand Story or Owner Story when browsing for products online?  ,Does learning about the story behind a brand or product increase your trust in it?  ,What type of brand story would you find most engaging?  ,  How likely are you to recommend Meesho to a friend or colleague?  ,  What is the primary reason for your score?  ,  What improvements could Meesho make to increase your satisfaction?  ,Others ( please specify ),How likely are you to interact with a touch screen in a mall displaying Meesho's new catalog of premium products? 
9/20/2024 16:18:37,A,Likely,"Yes, definitely",Story about the founder,8,"The website is decent, with good discounts but needs better UI","Faster delivery, Higher product quality, Other (please specify)",,Likely
9/20/2024 16:32:24,B,Neutral,"Yes, definitely",All of the above,6,Messo products,Higher product quality,Products,Likely
9/20/2024 16:35:32,A,Likely,"Yes, definitely",Brand’s mission and values,10,Reasonable prices at messo which targets middle or lower middle class.  Or messo has also good quality according to their prices of product. ,"Faster delivery, Improved customer service, Higher product quality",Lower to higher range of products according to pricing or quality of products. ,Very Likely
9/20/2024 16:36:04,A,Likely,"Yes, definitely",All of the above,8,Current UI doesn't seems personalized and sometimes quality not upto mark,"Better product selection, Higher product quality",,Very Likely
9/20/2024 16:36:15,B,Neutral,Maybe,Brand’s mission and values,7,Sometimes the products are better,Improved customer service,,Likely
9/20/2024 16:36:57,B,Unlikely,Maybe,Story behind the product,2,Quality of product,Better product selection,,Likely
9/20/2024 16:37:45,B,Very likely,"Yes, definitely",Story behind the product,1,Quality,Higher product quality,Nothing,Very Likely
9/20/2024 16:41:55,B,Very likely,"Yes, definitely",Brand’s mission and values,7,I am touch with meesho over this score,"Better product selection, Higher product quality, More premium brands",Meesho is good according to me ,Very Likely
9/20/2024 16:44:21,B,Neutral,"Yes, definitely",Brand’s mission and values,5,cheap product (dresses) sold on meesho.. quality less,"Higher product quality, More premium brands",,Neutral
9/20/2024 16:47:25,B,Neutral,Maybe,Story behind the product,3,Cheap products ,Higher product quality,,Unlikely
9/20/2024 16:55:41,A,Likely,"Yes, definitely",All of the above,8,Affordable and reliable,"Higher product quality, More premium brands",,Likely
9/20/2024 17:03:54,A,Likely,Maybe,Story about the founder,5,Nothing ,"Better product selection, Improved customer service, Higher product quality",,Very Likely
9/20/2024 17:30:52,A,Neutral,Maybe,Story behind the product,3,"In some of the products , it shows fake selling nos.","Better product selection, Higher product quality, Other (please specify)","Coustomer are doubtful of product quality, they should increase the product details.",Likely
9/20/2024 18:32:47,A,Likely,"Yes, definitely",Story about the founder,5,"Have never used it yet. But am applying for business profile, thus giving some score ;)","Faster delivery, Improved customer service",,Unlikely
9/20/2024 18:37:23,B,Neutral,"Yes, definitely",All of the above,6,I can't score high bcz of doubt on quality of products. ,Higher product quality,,Neutral
9/20/2024 19:15:33,A,Neutral,Maybe,Story behind the product,7,Products in meeshi are often not of good quality.,Faster delivery,,Neutral
9/20/2024 19:23:41,A,Likely,"Yes, definitely",Story about the founder,8,products were affordable ,Other (please specify),Can work oj website and App's UI,Likely
